Winner,B_current_lose_streak,B_current_win_streak,B_2,B_avg_SIG_STR_pct,B_losses,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_2,R_avg_SIG_STR_pct,R_losses,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
0,1,0,0,0.485,1,1,165.1,160.02,135,0,2,0,0.336666667,1,2,167.64,170.18,125,29,27
0,1,0,0,0.436666667,2,1,170.18,175.26,135,2,0,0,0.334285714,5,2,185.42,182.88,135,29,31
0,1,0,0,0.424,4,6,185.42,187.96,205,1,0,0,0.397272727,7,4,180.34,187.96,205,32,36
1,0,3,0,0.42,1,3,177.8,182.88,265,0,4,0,0.435833333,3,9,210.82,213.36,265,38,25
1,1,0,0,0.398823529,5,12,177.8,182.88,170,0,2,0,0.276666667,3,3,170.18,177.8,155,31,34
0,0,1,0,0.425,1,1,175.26,180.34,185,0,2,0,0.399375,4,12,187.96,190.5,170,35,31
0,0,1,0,0.75,0,1,180.34,185.42,170,0,1,0,0.557,3,7,187.96,193.04,170,28,31
1,0,2,0,0.464,1,4,185.42,187.96,185,0,1,0,0.4525,2,2,182.88,185.42,185,25,32
0,0,2,0,0.335,0,2,172.72,172.72,135,0,1,0,0.404,2,3,170.18,172.72,135,28,29
0,0,4,0,0.5125,2,6,180.34,187.96,185,0,1,0,0.576153846,3,10,185.42,187.96,185,42,34
0,0,1,0,0.456666667,2,4,167.64,162.56,145,1,0,0,0.4125,2,2,167.64,170.18,135,30,33
0,2,0,0,0.367857143,8,6,180.34,182.88,170,2,0,0,0.346,2,3,180.34,190.5,170,29,28
1,2,0,0,0.41,3,4,180.34,187.96,170,1,0,0,0.4,6,15,177.8,185.42,170,30,35
0,1,0,0,0.603333333,1,2,193.04,208.28,240,2,0,0,0.467142857,3,4,193.04,198.12,245,35,29
0,0,1,0,0.435,1,1,172.72,182.88,155,0,1,0,0.6,0,1,185.42,190.5,170,28,25
0,0,1,0,0.518333333,4,2,172.72,177.8,145,0,2,0,0.426666667,1,2,167.64,167.64,155,31,26
0,1,0,0,0.3,1,0,180.34,185.42,170,2,0,0,0.455,2,0,177.8,187.96,170,27,29
0,0,4,0,0.4275,0,4,175.26,177.8,135,0,4,0,0.38,0,4,167.64,177.8,135,22,26
0,0,1,0,0.458333333,1,5,175.26,182.88,155,0,3,0,0.4725,1,3,172.72,177.8,145,24,29
0,0,2,0,0.715,2,4,198.12,205.74,205,0,1,0,0.68,0,1,185.42,200.66,205,39,32
0,4,0,0,0.394,4,1,185.42,187.96,170,0,1,0,0.9,0,1,180.34,182.88,170,32,24
0,0,1,0,1,0,1,185.42,185.42,205,0,3,0,0.656,1,4,187.96,190.5,185,31,31
2,0,1,0,0.489090909,4,7,185.42,187.96,170,0,1,0,0.52,1,2,185.42,193.04,170,27,30
1,1,0,0,0.34,1,0,170.18,180.34,155,1,0,0,0.448,4,6,185.42,185.42,155,25,27
1,1,0,0,0.536666667,2,4,175.26,180.34,155,1,0,0,0.3675,1,3,182.88,185.42,155,33,24
